t,date,lat_gps,lon_gps,alt,speed,speed3D,fix,precision,speed_haversine,distance_gps,bearing_gps,speed_geod,x_gps,y_gps,road_index,lon_road,lat_road,order,x_road,y_road,distance_road,bearing_road,offset,section,road type
2515.026496888885,2016-01-01 20:13:36.955000+00:00,51.9437286,4.4242058,0.8405309920000121,20.666,74.628,3.0,157.0,20.14790067491853,20.45339126302976,-35.635937144986826,20.922370479701385,88787.4203634797,439913.7337639344,2368.0,4.424268,51.943692,3324.0,88791.64291,439909.6053,20.49571111,2243484.51964548,-1.042222561788393,M,straight
2516.0274968888853,2016-01-01 20:13:37.956000+00:00,51.9438774,4.4240385,0.384530992000009,20.306,73.44,3.0,157.0,19.86539819571582,20.160905026214262,-34.79340020408088,20.140764261948213,88776.13723635601,439930.440201293,2369.0,4.424098,51.94384,3325.0,88780.17294,439926.2252,20.19477755,2243484.6298834803,-0.8509545033256386,M,straight
2517.051912093564,2016-01-01 20:13:38.980000+00:00,51.9440329,4.4238623,0.3395309920000073,20.146000000000004,73.116,3.0,157.0,20.69695677116856,21.1224442100375,-35.002699682951004,20.61902645876671,88764.25216092174,439947.90015131753,2370.0,4.423927,51.943988,3326.0,88768.6343,439942.8461,20.23463763,2243484.47120138,-0.6293176387748106,M,straight
2518.003326954245,2016-01-01 20:13:39.931000+00:00,51.9441712,4.4237039,0.0985309920000077,20.211,72.828,3.0,157.0,18.827696507613428,18.85293732305956,-35.29185229379988,19.8156851466117,88753.56560692801,439963.43040462857,2371.0,4.423759,51.944135,3327.0,88757.30052,439959.3529,20.02445248,2243484.76665115,-0.6983671725379096,M,straight
2519.053912093564,2016-01-01 20:13:40.982000+00:00,51.944327,4.4235301,0.1435309920000094,20.307,72.936,3.0,149.0,21.36450048250793,21.055642887057854,-34.58256531038913,20.041824407210523,88741.84614138096,439980.9215963949,2372.0,4.423591,51.94428,3328.0,88745.96387,439975.6373,19.84307976,2243484.39604476,-0.2715558821622658,M,straight
2520.005326954245,2016-01-01 20:13:41.933000+00:00,51.9444683,4.4233713,0.0685309920000136,20.484,73.908,3.0,149.0,18.98327644982696,19.141999545694382,-34.781629836750795,20.119508677839665,88731.13665558252,439996.78601338685,2373.0,4.423421,51.944428,3329.0,88734.49421,439992.2573,20.19469042,2243484.63023982,-0.1164123450601809,M,straight
2521.055912093564,2016-01-01 20:13:42.984000+00:00,51.9446254,4.423193,0.1655309920000078,20.414,73.692,3.0,149.0,21.11692557705655,21.35101699172673,-35.045723568481435,20.32297639919503,88719.10988131366,440014.4259883972,2374.0,4.423251,51.944575,3330.0,88723.02315,440008.7661,20.10404145,2243484.44677256,0.1072528229836864,M,straight
2522.033496888885,2016-01-01 20:13:43.962000+00:00,51.9447759,4.4230242,0.3595309920000105,20.69,74.52,3.0,149.0,20.310791725441284,20.37498041877928,-34.72753797815605,20.842161740136508,88707.72659838654,440031.3230771461,2376.0,4.422996,51.944797,3332.0,88705.81893,440033.6962,10.09731513,2243484.6304524,0.1819035770001171,M,straight
2523.0344968888853,2016-01-01 20:13:44.963000+00:00,51.944928,4.4228506,0.614530992000013,21.042,75.88799999999999,3.0,149.0,20.545209021257687,20.70999578412568,-35.19735125116375,20.68930647764381,88696.01574568385,440048.402571924,2377.0,4.422908,51.944877,3333.0,88699.88683,440042.6765,10.76331383,2243485.79223746,0.0177676323828301,M,straight
2524.058912093564,2016-01-01 20:13:45.987000+00:00,51.9450908,4.4226628,0.2965309920000081,21.444,77.256,3.0,149.0,22.145341072111247,22.245940017121715,-35.48488785010932,21.715745642514307,88683.34449779149,440066.6854276957,2378.0,4.422735,51.945036,3334.0,88688.22747,440060.523,21.31889261,2243486.08272536,-0.6134997303867352,M,straight
