t,lon_gps,lat_gps,alt,time,duration_local,speed_haversine,distance_gps,bearing_gps,speed_geod,x_gps,y_gps,road_index,lon_road,lat_road,order,x_road,y_road,distance_road,bearing_road,offset,section,road type
1617.6391226198796,4.53743192,51.86367149,46.87,2021-10-21 09:33:15.999000+00:00,1625.999,26.50881949933315,26.593232547921048,85.56775178407256,26.593232547921048,96468.10153715052,430910.21356458217,1405.0,4.537439,51.863626,2083.0,96468.53004,430905.1471,26.63403721,25920804.72658789,-5.08440360449338,G,straight
1618.6391226198796,4.53781597,51.86369036,47.041,2021-10-21 09:33:16.999000+00:00,1626.999,26.454792859351222,26.539014299875458,85.46229863896781,26.539014299875458,96494.57845405242,430912.0037712094,1406.0,4.537808,51.863647,2084.0,96493.97315,430907.1864,25.52628133,25920804.74790758,-4.741737574045112,G,straight
1619.6391226198796,4.53819945,51.86371255,47.207,2021-10-21 09:33:17.999000+00:00,1627.999,26.4476482663002,26.53168307517828,84.6603369821577,26.53168307517828,96521.02040258178,430914.1639271277,1407.0,4.538207,51.86368,2086.0,96521.49814,430910.5367,27.72985983,25920802.3909088,-3.658546696294664,G,straight
1620.6391226198796,4.53858152,51.86374043,47.317,2021-10-21 09:33:18.999000+00:00,1628.999,26.4179918010612,26.501588609713927,83.27785943733714,26.501588609713927,96547.3725972818,430916.9583702213,1408.0,4.538588,51.863712,2087.0,96547.78201,430913.7903,26.48612499,25920802.27431462,-3.1943512837913435,G,straight
1621.6391226198796,4.53896181,51.86377573,47.465,2021-10-21 09:33:19.999000+00:00,1629.999,26.406576130241508,26.489572256023504,81.47308512822248,26.489572256023504,96573.61178904845,430920.57985935017,1409.0,4.538968,51.863753,2089.0,96574.00864,430918.0462,26.57133919,25920800.11414628,-2.5641726325996923,G,straight
1622.6391226198796,4.5393383,51.86381579,47.553,2021-10-21 09:33:20.999000+00:00,1630.999,26.233220766168184,26.31521808293564,80.24809050765093,26.31521808293564,96599.5953823378,430924.7340893481,1410.0,4.539345,51.863794,2090.0,96600.02859,430922.3046,26.3677492,25920800.03704253,-2.467802080401829,G,straight
1623.6391226198796,4.53970876,51.86385838,47.701,2021-10-21 09:33:21.999000+00:00,1631.999,25.87525505700492,25.95582350240155,79.48033723184552,25.95582350240155,96625.16688173726,430929.1747583492,1411.0,4.539599,51.863821,2091.0,96617.55844,430925.1043,17.75312796,25920800.25754564,-2.724257344871237,G,straight
1624.6391226198796,4.54007887,51.86390221,47.831,2021-10-21 09:33:22.999000+00:00,1632.999,25.87721788337752,25.957661327096314,79.17119388695244,25.957661327096314,96650.7158341546,430933.75378904224,1412.0,4.540085,51.863884,2093.0,96651.11445,430931.723,34.20464059,25920798.17419668,-2.069377021447745,G,straight
1625.6391226198796,4.54044935,51.86394695,48.071,2021-10-21 09:33:23.999000+00:00,1633.999,25.921375264567143,26.001865337304164,78.962598116713,26.001865337304164,96676.29140149604,430938.43389095104,1413.0,4.540455,51.863931,2094.0,96676.65989,430936.6549,26.01879353,25920798.40516178,-1.8167501073768868,G,straight
1626.6391226198796,4.5408256,51.86399257,48.283,2021-10-21 09:33:24.999000+00:00,1634.999,26.32897664763196,26.41071307552133,78.91918180487768,26.41071307552133,96702.26547911692,430943.2073973994,1414.0,4.540804,51.863976,2095.0,96700.75628,430941.3813,24.55706366,25920798.23539438,-1.4800249388183162,G,straight
1627.6391226198796,4.54120258,51.86404032,48.428,2021-10-21 09:33:25.999000+00:00,1635.999,26.42470856126246,26.50652145268211,78.43732586902046,26.50652145268211,96728.29254263271,430948.2174165861,1415.0,4.541202,51.864041,2097.0,96728.25347,430948.2935,28.35444928,25920795.2224437,0.0835329713894006,G,straight
